x,y
62.05491119,141.0928952
48.38021401,160.485177
64.27759839,185.5003885
19.8782677,160.9927972
35.77251176,146.3105986
43.72363896,196.8587467
31.48550039,171.4543596
56.48871792,172.4105739
35.32387282,175.6631137
9.860688328,220.356347
91.43891523,173.5792219
43.72461429,181.2534853
69.96649768,118.3178269
91.49790374,177.6807111
77.19976119,187.6020111
68.77077926,170.5172115
45.69951961,140.4607665
62.66140887,127.1912763
30.40692366,102.3848283
77.70312662,142.7267119
100.8941182,189.3542355
109.5068241,145.0652476
101.3313469,62.79120984
87.42092677,105.1096588
69.60417545,111.8512899
84.26672731,147.1231504
115.271967,132.3889735
92.56923875,114.5127466
92.70956822,169.5208314
149.692335,131.5622727
124.5023741,150.9834428
104.0038795,103.5095357
140.899152,106.7280402
145.9323098,134.6822378
88.1394644,168.21193
115.0441595,149.6874202
99.89295083,189.5175818
133.8150976,142.216905
135.1801799,105.6666408
126.2668634,137.9479978
105.6055287,119.9383704
125.6569544,118.8236289
95.3254389,149.237584
198.010223,114.9870589
150.8291462,90.41996146
177.26476,188.234575
172.012801,112.3050629
137.5077147,106.2658753
124.1544699,121.6936114
167.0835949,95.40167518
184.275364,144.0147259
161.4119045,184.452439
151.0644208,139.1872306
207.1204277,92.81633398
136.9300323,133.5146872
183.7631382,144.7243268
180.3761104,137.1091277
172.9597423,125.9851437
162.3788076,155.0601277
184.5351136,160.872387
159.0409682,132.7121322
182.5396474,129.7804658
193.9567974,153.3020195
199.7696849,150.3616876
210.2961677,161.998701
190.868089,134.5784482
184.6223196,159.3875685
207.7078446,135.3560604
194.9231267,160.3997233
213.829604,151.0025109
178.4712034,160.2207
197.7537514,181.7717201
243.869603,139.9224788
213.226236,170.1388578
227.4919524,157.2822434
212.1882201,173.3430434
189.9752577,185.751283
229.8820951,194.4290428
206.8840026,173.7494421
226.0969616,139.0075019
227.1860939,222.6701436
218.4557448,236.6420194
193.5682987,170.6760054
283.1148567,160.6747583
233.5427158,170.0066969
227.120442,168.0938016
256.5780537,224.542135
224.5137082,218.9036828
231.3653551,185.598812
228.6904361,186.6533302
209.76996,181.6569197
230.6611912,171.5205513
233.8009547,209.34106
292.1071565,216.4429299
239.4837162,228.2659307
253.7510949,247.88133
304.8682902,219.5548772
284.0736191,248.0348993
244.2052717,236.7621804
267.1111364,191.0783035
279.9885183,257.9791953
302.9587191,229.5145371
285.0841257,239.6201741
290.9566357,229.6300547
211.2618436,188.0981388
296.2690328,229.1146458
269.8232146,209.6741793
289.608544,197.2140057
286.4648479,251.7992728
305.3574575,206.3955912
307.910621,274.6959459
294.2765631,254.0521075
308.2477637,190.3643142
233.7005043,282.3792771
360.8958431,193.5831415
303.4289223,266.4483759
359.2190365,280.4680807
342.7673958,251.3364037
281.5003203,236.4329229
343.5729146,230.1865485
285.4991168,262.1993733
328.0809758,220.9760123
377.8972326,263.7165872
262.4735738,262.2078104
332.0649472,283.8987082
378.5223631,292.2364474
306.2702057,301.1388171
307.1760088,313.5579037
301.717703,256.3357084
341.6336644,278.6022938
348.0562255,297.8490276
284.8886838,299.6962829
380.6924816,275.5967672
367.1864812,262.8244952
359.8551148,318.2176418
366.0079292,337.9213816
393.8925662,314.3243825
352.3761148,269.7429351
374.1187735,290.4729223
352.9409669,296.0654329
311.400956,312.2294148
332.9263569,291.2985006
373.3719484,281.6824208
371.826062,311.6789797
369.6160225,326.2632484
341.2659903,307.6919858
335.4346807,299.3481145
411.2982507,321.5511918
445.1768397,335.7750789
353.6294104,310.1024966
403.0191366,305.2264545
417.8598811,306.4873942
355.154151,291.3559477
366.9439843,313.3535723
392.8408621,317.2781022
447.5005562,298.9076713
401.0550144,323.4349043
414.9757171,357.8393366
416.112277,350.116315
430.6241336,312.4634818
441.1721625,306.6294285
438.02069,302.6020748
379.3546835,329.2767895
398.9946762,342.1368338
475.2939772,330.1381408
396.3948137,277.3242723
457.7506167,326.7058693
382.1483444,293.9753519
383.6970977,259.7731312
415.4116291,289.6726904
442.0342201,310.7887256
466.6147427,318.2778393
431.0642213,301.2300187
479.3256239,308.6829864
428.047265,356.241823
473.2786661,336.6617972
451.6179304,316.4388733
495.7111636,312.8259313
449.664652,331.4539419
449.176115,319.9482795
481.8693125,333.158961
492.7683037,303.9895034
450.023585,298.0697179
490.3404627,328.4005504
494.4932828,346.1208681
494.6240166,274.0772099
468.5122444,283.6277607
454.1049082,312.3783503
501.5096977,309.3577291
502.1385531,313.6706609
541.7732412,320.0995529
499.8661683,300.4941382
576.969511,330.0863563
543.3652271,276.3890746
554.3702827,315.629714
560.3588684,296.6946532
514.2561478,278.6936964
530.5930308,306.7555441
533.8406325,256.8431332
544.8038549,259.9957159
551.802379,256.5445776
558.5242484,282.4760756
575.2615109,279.4304775
575.0899441,273.9704028
556.1267413,295.2511954
565.633256,278.5366901
570.9725875,283.8199139
584.8434281,276.3875027
579.4222509,276.3198496
571.6408627,275.4315413
580.7840141,315.3166375
565.39838,295.1689964
556.436664,216.2314073
584.6301849,281.5649602
606.1724244,277.2415646
534.9008604,267.4442386
558.9048372,222.7059184
594.3144117,256.7035954
628.2921782,217.3630285
606.485332,238.2655859
588.2258181,252.5353351
661.0888553,218.6887753
589.6042098,208.0085629
624.2224908,253.0961106
670.9578176,180.7996006
637.3515936,260.3199288
648.2637145,212.6594051
693.1346647,188.4820119
627.0842767,229.8210635
625.1906956,222.5093296
615.5542721,213.3655975
619.3187683,253.0803206
629.4187298,209.9947976
626.8502977,218.2818531
637.6924626,238.8250558
679.617828,230.2452716
682.1970129,231.7596174
616.1032229,194.7964046
634.9844793,213.9842256
654.0231111,216.6664094
664.8185024,243.3970778
655.2099615,239.0186727
650.0527375,193.411187
678.8615179,220.5935832
650.8797214,250.9641044
706.6230872,211.4623276
613.6132214,255.6368892
631.7781071,216.7384151
620.0644769,163.3540769
690.676846,204.1916547
663.1386461,199.6537204
620.7279791,200.5157581
648.192668,198.937877
661.2982043,224.5086762
688.391769,203.1867192
665.2734364,186.0436255
680.4669205,216.9419347
25.8980815,255.8786458
34.78196974,280.6600267
48.66149565,256.3309258
72.05048235,219.224579
45.56812479,282.4114463
52.35123453,220.0580308
80.29419387,217.0561545
40.27866892,231.6222058
53.6140653,194.8149157
99.61223404,223.5645571
91.97928437,164.9396257
139.7358285,132.3340673
92.87404021,187.0873261
131.3273866,165.9846232
143.2639624,150.7162189
114.3406438,165.4613652
128.4248223,170.7520964
150.4965677,158.7391364
105.8158179,145.8825617
162.7288443,174.0249137
144.4866366,175.9592846
212.7670602,148.1141635
162.7107851,186.9691152
160.3407573,182.9371915
189.9946175,127.8702703
252.4395676,186.5779917
236.8178821,128.8668244
250.3823666,146.2143758
228.0553659,145.9592096
208.1748241,172.481767
215.1930599,137.0764092
232.3220823,183.3612706
239.7268522,196.406716
264.0543188,183.6354622
263.6386209,182.9249289
288.149923,160.9508175
259.5996676,154.9196179
257.2441388,208.0276558
264.937419,193.3836919
301.0562872,220.1085272
278.7686588,248.1792838
280.7470323,236.3377455
318.9208849,215.7733154
330.3136509,213.0078361
316.2860279,202.518397
324.1488048,193.070535
308.196807,209.3385738
311.9981909,221.4551788
307.1747065,279.8552738
313.4987573,231.475161
386.1263261,257.7210175
374.8967155,276.6356171
395.1589755,299.8131057
355.019657,297.3275795
339.3879061,271.0667759
378.8187732,271.8301259
373.8614626,260.6049531
389.1354212,263.698117
359.3203726,289.0534394
383.2914744,316.2398019
349.6766827,289.1099564
402.1968303,361.0472437
437.3226754,310.1052548
416.871544,353.3041456
449.2870753,348.5396727
448.1363742,313.1564496
416.5885265,306.9480287
396.4396099,345.5824375
408.5298466,366.8373114
398.3135903,272.2861668
422.0969079,327.2708689
440.0562148,246.587547
445.6688322,318.7909342
439.8231906,342.1367446
425.6447348,315.9661682
402.7733281,326.2137494
418.3916596,298.7839432
440.2678124,371.1358175
455.4398533,356.2261571
453.6892601,350.644519
507.6354936,320.8176745
555.5103303,317.8447073
441.937588,291.7084309
466.6510433,300.439415
526.693609,268.375099
547.589542,266.9402525
512.5626127,311.409797
555.603774,290.0371385
548.8873746,318.1942362
532.0009919,245.166263
591.0703975,211.1293047
581.265359,229.2144681
569.3390001,227.4439761
587.6067725,246.8015767
581.5504569,207.7331963
618.5396841,215.8550709
612.8096573,212.7535167
644.6395587,214.1758641
638.9152483,213.6190275
683.3028453,187.3451471
625.6503895,189.3465154
628.0201443,219.753283
658.7177295,165.3482272
677.8779834,206.5913911
655.9192009,143.9631505
695.2422539,171.6947271
691.8830705,133.7025615
687.5448913,168.6904218
661.911795,147.1979303
710.8823498,181.2789807
750.9195926,152.2228156
733.834452,155.3385166
718.6690176,199.6848152
716.9908557,96.05485986
696.2651231,158.8722253
690.8411249,130.2439854
653.2797559,153.8986493
668.9502595,137.8857447
691.39917,188.5640884
656.5439064,172.8454375
681.5919299,160.1041639
639.2715016,166.2940939
615.7296291,240.8079517
623.4851286,228.6473238
627.3559343,204.3528274
622.6639762,211.2365699
611.0355944,247.7450778
560.3438971,232.4548496
571.036422,256.4316128
631.4385981,281.7876042
581.5707068,276.7370894
544.2995329,337.0287933
514.6042591,297.1525447
516.9584159,307.8995882
534.672748,309.2117975
422.9359807,281.3946397
473.270399,263.7944605
482.8188515,302.1298077
488.4099038,328.9199019
424.4886779,294.0125593
439.6990342,373.2343694
435.9418872,344.119037
423.0397968,306.4112285
405.4132242,344.5803842
436.4925504,366.2542119
372.9092231,360.4709109
356.0804395,378.7186371
374.9105604,382.5920133
359.3338874,374.8901997
363.1282084,296.0436098
376.8401324,347.4272517
360.4832109,269.0427489
301.4378189,320.5227749
318.478378,256.2426132
311.0501002,304.6413142
300.2900464,298.4183441
275.3455085,283.1707059
268.2208507,242.4981796
238.8593787,256.4269984
251.5018198,229.7149882
298.9316247,246.0826573
238.5812303,234.9308306
189.1950346,193.3746874
238.7689467,224.1484428
208.1420043,181.029788
190.6383961,147.7337462
204.2583947,163.3481206
139.5387311,181.2136483
176.143259,195.2433423
162.3795771,183.6241182
155.1782506,169.1813391
135.294361,144.335011
114.8423365,211.7584278
111.8927101,109.3913268
114.6799951,144.3810187
77.04238789,169.6504212
19.6862543,173.8653379
49.84502058,239.9672299
16.1182316,239.0634017
-6.649828409,274.4574749
36.20479143,209.8719479
36.85499541,201.0170452
75.30948474,220.2353359
50.27419091,227.4287416
47.04622848,162.6860903
65.96203871,179.9591741
88.61517303,147.5557344
84.59943334,174.9436217
109.2035551,139.4075629
154.9115701,141.9137161
217.0074204,141.4638149
251.8581979,172.7029837
266.2310258,173.0850609
295.0820889,166.5892008
228.0592543,190.6251132
296.0836278,191.1809114
352.592213,239.6447153
320.0550758,157.2308566
348.8478771,224.9542117
311.7181285,222.8121124
358.9888947,198.2178126
347.1267596,245.1696488
353.358888,206.3925386
378.6363173,250.3134884
379.1402745,252.1519872
391.1692589,250.7265082
435.3006877,315.8514457
428.4047499,260.7235308
431.380885,247.7845674
427.5988912,275.4863126
464.1194311,303.835951
453.5665853,284.7062198
471.4273957,248.6651605
553.6407505,281.1811362
546.8664831,257.0334131
541.4100436,184.1886967
586.9155652,240.9711326
598.6957307,181.2987889
624.5945693,167.0844979
592.9093117,213.9050556
627.0542195,187.9913768
585.1623759,145.8670428
607.3098567,220.8125064
573.6551352,250.9933875
611.6414784,229.1902621
593.1377456,177.6700922
639.4419382,215.6660397
620.5841793,250.9460337
552.7864997,222.6661992
539.7554491,238.7172935
500.2117475,281.3702433
432.1807759,264.6916477
378.4224778,299.0544893
375.1915525,266.1382396
374.1981393,244.8814009
358.1869609,249.8201807
343.180581,241.6318853
343.1630779,277.9846555
323.1302831,264.3476149
327.726485,221.2768866
19.10643392,380.8696536
58.59211269,347.0324966
81.13693243,351.4170455
-16.7860764,302.9831309
62.26699309,287.4899771
17.73514014,265.9851948
60.56901843,259.1924784
30.03790612,242.7224609
106.0928553,201.391057
89.82404604,158.9643757
70.72489529,203.884889
75.93978847,176.7960094
85.47386156,187.6084602
115.3214128,117.2168127
136.7660139,145.6568915
92.11737445,125.5603371
60.39371608,267.3143697
57.80237597,271.4599502
