x,y,z
183.29862612677107,334.6882875474449,a
168.69773384196796,323.61893180660127,a
193.94915170954803,332.9152694643646,a
198.51530240779826,358.9345252001161,a
137.9578504424843,374.47869729029765,a
183.4395018668626,353.1789381576367,a
183.76983503255974,381.5543403020224,a
160.7436332868546,372.87615697046414,a
124.25667590886994,382.32465101153844,a
193.39977651392118,349.6152450088266,a
207.05831769369095,354.63530997489534,a
205.39434436015688,377.16709606079746,a
187.5787938590586,373.7851923219363,a
199.22620552331827,375.96739098987837,a
154.14854418029725,343.03633993479707,a
264.2232073471758,418.01187405298236,a
220.290500878049,366.20274099566257,a
253.94130439161358,384.18886116348796,a
243.45578292757608,338.47420244216653,a
234.70057441713584,341.94405022030634,a
249.2106960403455,327.34838518920105,a
306.07653919379516,369.3348648022536,a
273.8230528519554,318.7606720585486,a
224.6603644176307,337.79746114657746,a
285.75193554717885,361.1867722033053,a
343.6352011181412,275.1686078357932,a
256.7902859586613,362.7832971940545,a
298.2944976781532,300.5269256085744,a
286.76995947285417,324.9169887747315,a
307.921122980297,337.6337192996193,a
315.9971378826575,313.3026650423949,a
281.59439316266935,277.56079296336793,a
286.9592616321834,332.0804115952227,a
277.0261154298856,302.89526289829007,a
263.2724659446548,274.67849335940156,a
294.7534135860652,263.2219368800308,a
251.14197089491034,285.9483695883898,a
290.4513984887874,306.890018285016,a
264.6432351495533,307.9070638182439,a
325.6488081094884,286.36243855901404,a
239.76490952059387,315.38790863331747,a
236.22874554769817,291.6828053034384,a
242.17451645553444,302.15119292471354,a
240.67605405286025,267.98324796829297,a
261.0048874237078,316.4639929387696,a
225.79068088975137,315.4334781811891,a
208.3842249152757,274.6079754219502,a
245.96182554704777,309.2499641434852,a
213.40332995312446,370.42770478318675,a
176.17597412852902,301.1909257533117,a
231.65986090955744,321.2753178226277,a
206.0388418295165,332.7071318924733,a
196.46421431479143,322.09095441036226,a
234.99333151465893,316.8646345268652,a
241.2094244378753,330.8636234727588,a
208.76988938788134,284.47633002207283,a
205.66946982065963,351.6877790879471,a
208.42274179268588,337.65149694715296,a
231.41796884997643,312.8284205729407,a
222.28845403624717,330.57837666399274,a
220.84663916389286,350.46080321541973,a
207.91162942557725,333.427795216107,a
267.66767479768305,331.08544275859697,a
204.26245293037277,374.408011373752,a
203.73511598749218,362.75793896983953,a
216.03513927781952,351.10480514772473,a
240.2232535442093,313.65965574308336,a
216.38158094724366,331.2092402078453,a
235.57651509931497,345.903710062194,a
254.75807034824157,315.0972227743448,a
255.0604168401615,322.7591085241186,a
212.79976827289198,332.608585423107,a
264.22793771956106,334.27084549526677,a
263.9893272841965,306.0778821249411,a
259.8379115634805,320.58553971543665,a
189.60228990427007,296.4267385390828,a
211.9524991609118,342.1561694563309,a
199.7655229870851,355.633413943675,a
242.30215364134503,346.53038784303567,a
202.15812138091457,322.78438032118163,a
223.0734294276199,326.8237156199408,a
247.69015696631644,376.19206575429644,a
198.6560073806445,313.1161914856774,a
177.90040066033418,303.55938242095505,a
238.0243437708138,299.9558772538983,a
251.12619224436975,352.08302062129815,a
232.1623863083359,340.993815805547,a
218.0948846320258,350.4898265489583,a
183.54518319888086,404.7292656273339,a
227.62832506836563,347.3066533595336,a
194.98289468097144,368.34928979439064,a
168.41896127220878,321.10887515017214,a
169.12740316497494,337.8944383916544,a
139.31048397775388,373.62656422249927,a
150.9683026355367,389.304009851063,a
100.56504633151525,342.19399693392256,a
140.28902640665765,377.4711566301273,a
131.7169309952319,324.2905339053277,a
93.06297159991601,375.7597643834498,a
129.93470423778882,362.6079508089551,a
115.4952591583441,364.0925583323632,a
107.59018503054753,342.97629558130393,a
106.52710934952947,353.6279643921029,a
116.1929134308808,329.3036115674803,a
60.20371702755345,372.6668318682209,a
118.8320993583693,353.57635197037075,a
86.05445726990708,344.5040022302172,a
77.11011335594516,307.24922998831227,a
81.50164096700584,334.77843647666066,a
80.0285769633438,330.5992207565016,a
103.78107713034338,293.865293051074,a
88.29503537432532,325.82361856661896,a
68.11544055695165,308.84500471531885,a
104.43241255149648,304.9489794764319,a
79.3056286616414,336.8497012771619,a
101.40745182354131,301.87647441805507,a
83.57666427530627,300.1182697341572,a
101.292880693281,252.4318291322015,a
114.70598183006935,328.17344785018685,a
118.28738786221756,290.4989607897753,a
119.56430812375717,259.75408204611176,a
128.25669253310886,279.5545412616392,a
91.82275202835356,285.2466965522177,a
146.02559707762714,267.95691852241407,a
115.30034825665656,308.0055336326119,a
184.05959502523348,325.16301222059684,a
97.95223711289252,287.0148232344925,a
187.2177582675386,268.902046430296,a
123.50393923976625,244.3235977609107,a
152.9668257337223,286.1105448702852,a
129.93545296161003,241.6700377716857,a
185.1734921192821,285.4323841049419,a
124.33375895106961,273.41123336960777,a
163.09203822247125,270.57747456151395,a
175.254321443355,233.99871883631863,a
183.07410382896308,258.61932281820486,a
154.87792028786166,282.78483652091063,a
166.0410807722934,273.6505222199046,a
151.77354179565162,277.6972577227302,a
146.34933519168425,237.1559776817523,a
163.77456342537997,282.5133948779258,a
186.363573634414,252.6781992677331,a
187.8495496184198,238.72779339075112,a
154.37608534864862,213.24407243321411,a
158.5336914017037,255.08190894731462,a
128.08106849326813,249.8435570340721,a
170.06903555364252,218.82204511936993,a
175.01024802480404,251.34317580051504,a
196.1701923273709,228.15214028644408,a
162.07859079516973,292.8150997108693,a
139.49332608299937,247.65978566562728,a
151.93714025092527,326.1436928433815,a
149.079749353254,274.5226026757724,a
172.97587264319537,259.65850945647463,a
185.6265398597155,281.04132600085035,a
178.1397793616369,306.86066513291144,a
161.60528289318813,240.17961717088133,a
171.9035552289524,295.8340010306589,a
163.54717753547945,322.8541486843229,a
170.08571383859223,275.237392376819,a
143.74015091002374,301.6959776912119,a
196.72823818063168,287.3238057909198,a
183.5521159393855,275.2496894871975,a
195.53744670342465,312.7348145924137,a
191.45700279486246,238.50758053014152,a
177.97571655905506,261.95800697754544,a
194.02326960452973,248.19503035231503,a
174.50929831832642,345.1910588260663,a
205.49324408567597,291.70862093028904,a
231.1867731457975,305.4206789187575,a
217.41310491068558,310.14345607665996,a
203.78804046830612,328.14405515064016,a
230.57856173162668,265.3946835218986,a
241.37460633377756,273.21899113913156,a
249.49011615470747,270.4802173585457,a
267.0599386566345,253.0965462885394,a
216.57927834836576,290.75089711377643,a
214.94492665257715,258.926673359309,a
221.75471647344204,300.10089105975067,a
151.3060233487946,253.03031236329693,a
242.0750657139327,260.79523494936245,a
217.9467865364998,266.7577574532237,a
162.36526657456665,297.56058150974843,a
241.56049508525197,288.18550181387224,a
197.58413727209657,340.01119970898617,a
190.97668356342908,321.6019735449348,a
273.7990053232556,317.347684885489,a
219.35820941995894,312.04646200175586,a
233.04145981175722,308.8073306503568,a
203.46724483953327,301.83822343980114,a
170.57875995517048,356.6620037602016,a
215.62043874520626,365.5815926325655,a
181.9521259157605,345.9835964834795,a
210.82199520679924,352.14537576254884,a
225.27819051029053,320.0591650212099,a
201.98573221933245,372.71347287522354,a
239.72074559477437,359.2354370248134,a
167.58704424175778,363.0177120857793,a
144.94052291614943,327.8232722961307,a
166.97504853654206,392.32932596104354,a
119.4863844567846,342.7774139618343,a
171.74406022765183,371.3999459059434,a
191.9814985219054,346.4815390629619,a
138.7419587151668,375.09620330746526,a
244.9728403949787,310.5554609230797,a
158.24389939311246,380.5296368077751,a
153.08937294639327,304.5503274171763,a
179.34760866314832,363.5970970126932,a
155.2069332370152,354.0819634374552,a
127.74211206398152,326.7761654602009,a
156.45218354272612,318.3785866836022,a
125.3652270576288,294.4287783937831,a
193.25260277264553,333.70357722075033,a
177.8248562434701,342.80243766926384,a
161.72660576048943,350.42108870558684,a
152.36855283392342,317.08384015992146,a
190.82787054747703,295.84617477457994,a
188.47332089103017,307.47530610651904,a
137.74548143835216,277.3434763622057,a
218.08836626859085,284.8563751912697,a
188.4249218410579,312.00477269020905,a
188.42712953561377,303.55032096547745,a
223.6828428747638,312.54669324057835,a
204.15384250812403,329.2570301407907,a
164.39623998810092,318.9376874092902,a
200.47024167181928,301.2925688306621,a
245.91194470525897,269.6915662744516,a
169.61521198056235,271.7264520706178,a
198.29310372690065,314.52704039802904,a
161.0496885517436,296.8736972036803,a
200.7870942859122,285.16891155481676,a
219.262816474657,280.5003178512277,a
